emerge,saleintended2,ebitbeforedummy,equitybefore,manufacturing,prime1yearbeffile,lnhqtohqctcity,prepack3,diploanres,commcred24,lnassetscurrdollar,lnjudgeexp,deny,judgeexpdummy
1,0,1,.067239225,1,8.5,0,0,0,1,6.1224928,.69314718,0,0
1,0,0,.19025156,0,8.5,0,0,0,0,5.9135032,1.7917595,0,1
1,0,0,.12389144,0,8.5,3.8286414,1,0,0,6.2934194,1.3862944,1,0
0,0,0,.10492505,0,8.5,0,0,1,1,6.5206213,.69314718,0,0
1,0,1,.18166237,1,8.5,0,1,1,0,5.8260002,2.3025851,1,1
1,0,0,.11156082,0,8.5,3.2580965,1,0,0,5.866468,2.7080503,1,1
1,0,1,.16067146,0,8.5,0,0,0,1,6.4052286,0,0,0
0,1,1,.28710717,0,8.5,2.5649493,0,1,1,6.2595816,2.7725887,1,1
1,0,1,.18197513,1,8.5,3.713572,0,1,1,6.7765069,0,0,0
1,0,0,-.60216206,0,8.5,0,1,1,0,5.7960577,3.1354942,1,1
1,0,0,-.74151111,1,8.5,0,1,1,0,5.9107966,1.3862944,1,0
1,0,1,-.38266742,0,8.5,0,1,1,1,7.4809923,2.8332133,1,1
0,1,1,.13986805,1,8.5,2.7080503,0,1,1,5.9427996,1.0986123,0,0
0,1,0,.27471787,0,8.5,0,0,1,1,6.4614682,1.9459101,1,1
1,0,0,-.14817497,0,8.5,0,0,0,0,6.8875527,1.0986123,0,0
0,0,0,.13885039,0,8.5,0,0,1,1,7.7621708,0,0,0
0,1,0,-.1463297,0,8.5,3.7376697,1,1,1,5.9661469,2.9444389,1,1
1,0,1,.20976903,0,8.5,,0,1,1,8.8103104,3.6375861,1,1
1,1,0,-.44583333,1,8.5,3.0445225,0,1,1,5.8406415,3.6375861,1,1
1,0,0,.25497738,1,8.5,1.6094379,0,1,1,8.2932997,3.5553482,1,1
0,0,0,.15105188,0,8.5,2.4849067,0,1,1,7.7240047,3.6109178,1,1
1,0,0,-.34270999,0,8.5,,1,1,1,7.4061036,1.3862944,1,0
0,0,1,.046197921,1,8.5,3.4011974,0,0,1,6.0637851,0,0,0
1,0,0,.0079716323,1,8.5,3.0910425,2,1,0,7.2813859,3.0910425,1,1
1,0,0,.12754972,0,8.5,0,0,1,0,8.5816689,1.0986123,1,0
1,0,0,-.17494604,0,8.5,0,0,0,1,6.212606,1.6094379,0,0
1,,0,-1.04,1,8.5,2.9444389,2,1,0,6.212606,1.0986123,1,0
0,0,0,-.2182751,0,8.5,0,0,0,1,5.7004437,.69314718,0,0
1,0,1,.33713612,0,8.5,0,0,1,1,7.3613753,3.1780539,1,1
1,0,1,.18335751,0,8.5,0,0,1,1,7.7993436,2.6390574,1,1
1,0,1,.074558765,0,8.5,3.2580965,2,1,0,5.7170277,1.0986123,1,0
1,0,1,.14424242,1,8.5,3.583519,0,1,1,7.7587605,2.3025851,1,1
1,0,1,.32870296,0,8.5,0,0,1,1,5.9610052,1.7917595,1,1
1,0,0,.22494483,0,8.25,0,1,0,1,6.5072775,1.6094379,1,0
1,0,1,.15651141,0,8.25,0,0,1,1,8.1596603,3.0445225,1,1
1,0,0,.08054433,1,8,0,0,1,1,7.052721,1.7917595,1,1
1,0,0,.2563515,0,8,0,0,1,1,6.7900972,2.3978953,1,1
0,0,1,.47200158,0,8,0,1,1,1,6.8834624,1.0986123,1,0
0,0,1,.025167527,0,8,0,0,0,1,6.9641356,0,0,0
0,0,0,.32711568,1,7.75,4.4188404,0,1,1,6.4504704,0,0,0
1,0,1,.11111111,1,7.75,0,1,0,0,6.5708828,2.3025851,1,1
1,0,0,.51266032,0,7.75,1.9459101,0,1,1,6.4085288,1.3862944,1,0
1,0,1,.2396716,1,7.75,0,0,1,1,8.0842543,3.7376697,1,1
1,0,1,-.52667999,0,7.75,0,1,0,0,5.9964519,3.4965076,1,1
1,0,0,-.28927681,1,7.75,0,0,1,1,6.338594,2.5649493,1,1
1,0,0,.28666666,1,7.75,2.0794415,0,1,0,6.0497336,1.6094379,0,0
1,0,0,-.12869208,1,7.75,0,0,1,1,6.50279,1.6094379,1,0
1,0,0,-1.0799071,0,7.75,0,0,1,0,7.495542,3.0910425,1,1
0,1,0,.61125773,0,7.75,2.6390574,0,1,1,6.1800165,0,0,0
0,0,1,.0005299417,0,7.75,2.5649493,0,1,1,7.8875842,3.4339871,1,1
0,0,1,-.2772707,0,7.75,3.0445225,0,1,1,8.4644251,3.4965076,1,1
0,1,0,-.4011628,0,7.75,3.1780539,0,1,1,6.1800165,3.2958369,1,1
1,0,1,-1.0247189,0,7.75,3.2188759,2,1,0,6.4614682,1.6094379,1,0
1,0,1,.086077608,0,7.75,4.4998097,1,1,0,5.9026332,1.3862944,1,0
0,0,1,.14670062,0,7.75,2.3978953,0,0,1,6.1984787,3.4657359,1,1
1,1,1,.10869565,1,7.75,3.2188759,0,1,1,5.768321,1.0986123,1,0
0,0,0,-.429351,1,7.75,0,0,1,1,6.652863,1.3862944,0,0
0,0,1,.10971787,0,7.75,3.2958369,0,0,1,6.0958247,1.3862944,0,0
1,0,1,-.023195876,1,7.75,3.3672957,0,1,1,6.2915692,0,0,0
0,1,1,.23750447,0,7.75,0,1,0,1,8.5111752,0,0,0
1,0,1,.12359966,0,7.75,3.4657359,0,1,1,5.7235851,0,0,0
1,0,0,.28654525,0,7.75,2.7725887,1,0,0,5.7235851,2.0794415,1,1
1,1,1,.098484851,1,7.75,3.1780539,0,1,1,6.3117347,0,1,0
0,0,1,.16861907,0,7.75,2.4849067,0,1,1,6.9985094,.69314718,0,0
1,0,1,.10663317,1,7.75,0,0,1,1,6.3171649,1.0986123,1,0
0,1,1,.37241313,0,7.75,2.3025851,0,1,0,5.7235851,0,0,0
0,0,0,.31905001,0,7.75,2.7725887,0,1,0,6.2205901,1.0986123,0,0
1,0,1,.20280877,0,7.75,3.2580965,0,0,1,7.2196422,1.0986123,0,0
1,0,0,-.025266677,0,7.75,0,0,1,0,6.2952662,.69314718,1,0
1,1,0,-.28043479,0,7.75,0,0,1,1,5.768321,3.9702919,1,1
0,0,0,.31011462,0,7.75,2.6390574,0,1,1,6.526495,1.0986123,1,0
0,1,1,-.34974748,1,7.75,2.6390574,0,1,1,6.1696105,.69314718,1,0
0,1,0,-.1920307,0,7.75,4.89784,0,1,1,7.3434262,1.0986123,1,0
1,0,1,-.57382429,1,7.75,2.4849067,0,1,1,5.7525725,2.1972246,1,1
1,0,1,.21769449,0,7.75,0,0,1,1,7.2936978,.69314718,0,0
1,0,0,-.13577564,0,7.75,0,0,1,1,6.6424866,0,0,0
1,1,0,.34747392,0,7.75,0,0,1,1,7.1623974,4.0430512,1,1
1,0,1,-.010452962,0,7.75,0,1,1,1,6.6770835,2.0794415,1,1
1,0,0,-.26595756,0,7.75,2.6390574,1,0,1,5.8607864,.69314718,1,0
0,0,1,.29363629,0,7.75,0,0,1,1,8.7056627,3.9512436,1,1
0,0,0,.26433885,0,7.75,3.2580965,0,1,1,6.1612072,0,0,0
0,0,1,.41769317,0,7.75,0,0,1,1,5.8289456,0,0,0
1,0,1,.2419485,0,7.75,3.5553482,0,1,1,8.1193981,1.0986123,1,0
1,0,1,-1.3812351,0,8,3.7612002,2,1,0,7.0570369,1.7917595,1,1
1,0,1,.24237722,0,8,4.3438053,1,1,1,6.3473892,3.4011974,1,1
0,0,0,-.55494314,0,8,0,1,1,0,7.5817199,0,1,0
0,0,0,.19383429,0,8,0,0,1,1,5.7899604,2.8332133,1,1
1,0,0,-.049717098,0,8,0,1,1,1,6.3207684,3.7612002,1,1
1,0,1,-.27221182,1,8,0,2,1,0,5.7004437,1.6094379,1,0
1,0,1,.25325078,0,8,0,0,0,1,7.0157123,2.5649493,1,1
1,0,1,.1573424,0,8,1.7917595,0,0,1,5.6801724,.69314718,0,0
1,0,1,.36650652,0,8,0,0,1,1,7.6058898,1.3862944,0,0
1,0,1,-.010699145,1,8.25,0,2,1,0,6.8596148,3.3672957,1,1
1,0,1,-.72674525,0,8.25,2.0794415,1,1,1,6.5971456,1.9459101,1,1
1,0,1,.036630038,1,8.25,0,0,1,1,5.9269261,2.8332133,1,1
1,0,0,.23296361,0,8.25,3.3322046,0,1,1,6.2822666,2.3025851,1,1
1,0,1,.011572866,0,8.25,0,1,0,1,6.3969297,0,0,0
0,0,1,.27838504,1,8.25,0,1,1,1,6.0935698,3.2958369,1,1
1,0,1,.12549621,0,8.25,0,0,1,1,6.0306854,1.6094379,0,0
0,0,0,.16605288,1,8.25,0,0,1,1,5.8636312,.69314718,0,0
0,1,0,-.0032770047,0,8.25,2.8903718,0,1,1,6.9911771,1.6094379,0,0
1,0,1,-.099014476,1,8.25,0,0,1,1,9.0932446,1.6094379,1,0
0,0,1,.11750768,1,8.25,0,0,1,1,6.1377273,1.0986123,0,0
0,0,0,.4697969,0,8.25,2.0794415,0,1,1,6.2441669,1.7917595,1,1
1,0,1,.12879503,0,8.25,2.6390574,0,0,1,6.4002576,1.3862944,1,0
1,0,0,-.16054639,0,8.25,2.0794415,0,1,1,7.9251575,3.7612002,1,1
1,0,1,.16715628,1,8.25,0,0,1,1,7.742836,2.7080503,1,1
1,1,1,-.0047168997,1,8.5,0,0,1,1,7.4622149,1.0986123,0,0
0,0,1,-.097761557,0,8.5,3.713572,0,1,1,6.059123,0,1,0
0,1,1,.81405085,0,8.5,2.6390574,0,1,0,6.856462,1.3862944,1,0
1,0,1,.16592628,1,8.5,3.4657359,0,1,1,8.6489229,0,1,0
0,0,0,-.13913622,1,8.5,3.9889841,0,1,1,5.8749309,0,0,0
0,1,1,.094766647,1,8.5,3.7376697,0,1,1,7.057898,0,0,0
1,0,0,.24405836,1,8.5,0,0,1,1,9.0308552,1.3862944,0,0
1,0,0,-1.3931979,0,8.5,0,0,1,0,5.7071104,1.3862944,0,0
0,0,0,.4609375,0,8.5,2.8332133,0,0,1,6.2595816,1.3862944,0,0
0,1,0,-.080061786,0,8.5,0,0,1,1,7.9755645,3.8066626,1,1
1,0,0,.25869817,1,8.5,3.2580965,0,1,1,6.2005091,1.7917595,0,1
0,0,0,.18431373,0,8.5,2.5649493,0,1,1,5.8493247,3.1780539,1,1
0,1,0,.64300627,0,8.5,0,0,1,1,6.4800444,.69314718,0,0
1,0,0,.29094237,1,8.5,3.1354942,1,1,1,7.3051882,2.0794415,1,1
1,0,0,-.7137596,0,8.5,1.3862944,1,1,0,6.2005091,2.7080503,1,1
1,1,1,-.10276504,1,8.5,1.7917595,0,0,1,6.6745615,2.8903718,1,1
0,0,0,.075342469,1,8.75,0,0,0,1,5.9814143,1.3862944,0,0
1,0,1,.0023055386,1,8.75,3.2958369,1,1,1,8.3537331,1.3862944,1,0
1,1,1,.32421097,0,8.75,0,0,1,1,7.8578677,0,1,0
0,1,1,.163643,0,8.75,0,0,1,1,7.7668405,3.6635616,1,1
1,0,1,.1656051,1,8.75,3.9702919,1,1,1,6.0520892,2.6390574,1,1
0,0,0,.34405941,0,8.75,0,0,0,0,6.9966817,3.2580965,1,1
0,1,0,-.0061009428,0,8.75,,0,0,1,7.7993436,1.6094379,1,0
0,0,0,.020594966,0,8.75,.69314718,1,1,1,6.3818159,3.2188759,1,1
0,0,0,-.27601853,0,9,3.2188759,0,1,1,7.0884089,0,1,0
1,0,0,.10188679,0,9,2.8332133,1,1,1,5.8805332,0,0,0
0,1,0,-.58425051,0,9,3.1354942,0,0,1,5.9964519,0,1,0
1,0,1,-.027583292,1,9,2.9444389,0,1,1,8.1556492,1.9459101,1,1
1,0,1,-.33574587,1,9,0,0,1,1,7.3858509,0,0,0
0,1,1,.41273099,0,9,0,0,0,1,6.4861608,2.9444389,1,1
0,1,0,.048174415,1,9,3.1354942,0,1,1,6.2614918,3.871201,1,1
0,0,1,.43554813,0,9,0,0,0,0,6.3368258,.69314718,0,0
1,0,0,.084000364,0,9,0,0,0,1,10.296374,0,0,0
0,1,1,.90172112,0,9,0,0,0,0,6.5206213,1.9459101,1,1
1,0,0,.0055464925,0,9,0,0,1,1,8.3260326,1.0986123,1,0
0,0,0,.25548711,1,9,2.5649493,0,0,1,7.0103121,0,0,0
1,0,0,.56688839,0,9,2.3025851,0,0,1,6.4199948,2.0794415,1,1
0,1,1,.55030674,1,9,0,0,0,1,7.6943927,1.0986123,0,0
0,0,0,.45802337,0,9,3.0910425,0,1,1,6.2285109,2.3978953,1,1
1,1,0,-.25429586,0,9,0,0,0,0,7.969358,1.0986123,1,0
1,0,0,-.016388962,1,9,4.1896548,1,1,1,6.8814111,0,0,0
0,0,1,.45333335,0,9,0,0,1,1,5.7104268,.69314718,0,0
1,0,0,-.14495482,0,9,0,1,1,1,8.1780777,.69314718,0,0
0,0,1,-.052631553,0,9.5,2.9957323,0,1,1,5.7960577,1.6094379,1,0
1,0,0,-.3634004,0,9.5,2.8903718,0,0,1,7.3914151,0,1,0
1,0,0,-.4600125,0,9.5,0,0,1,1,6.3835068,2.0794415,0,1
0,1,0,-.75934184,0,9.5,3.5263605,0,0,1,8.1481562,0,1,0
0,0,1,.19580936,0,9.5,2.9957323,0,1,1,6.8101425,.69314718,0,0
1,0,1,.077047095,1,9.5,0,0,1,1,8.0510225,1.0986123,1,0
1,0,1,.1443684,1,9.5,0,0,1,1,8.3673,1.3862944,1,0
1,0,0,-.22330959,1,9.5,3.1780539,1,1,1,5.7071104,.69314718,0,0
0,1,0,.7016592,1,9.5,0,0,0,1,7.4283333,.69314718,0,0
1,0,0,.26293764,0,9.5,0,0,1,1,7.7484598,0,0,0
1,0,1,-.74199522,0,9.5,0,0,1,1,6.8480053,1.6094379,0,0
0,0,1,.13867946,0,9.5,2.8332133,0,1,1,9.3720341,0,0,0
1,0,0,.66774607,0,9.5,2.6390574,0,1,1,6.6489844,1.0986123,1,0
1,0,0,-.21525423,1,9.5,0,1,1,1,6.6745615,1.9459101,0,1
0,1,0,.079719707,0,9.5,2.0794415,0,1,1,7.2570028,2.9957323,1,1
0,1,0,.29185778,0,9.5,2.6390574,0,1,1,6.1484685,1.3862944,0,0
1,0,0,-.12074099,0,9.5,1.3862944,1,1,0,7.6157908,2.1972246,1,1
0,0,0,.19877735,0,9.5,2.1972246,0,1,1,7.8935719,2.5649493,1,1
1,1,0,-.070826344,1,9.5,3.0445225,0,0,1,6.1696105,2.9957323,1,1
1,0,0,.24211021,1,9.5,0,1,0,1,6.7452364,0,0,0
0,0,1,.22443755,1,9.5,0,0,1,1,6.5944133,0,1,0
1,0,1,-.16481167,1,9.5,3.0910425,1,1,1,6.7765069,0,0,0
0,1,0,.28400001,1,9.5,0,0,1,1,5.811141,0,0,0
0,0,0,.058710895,0,9.5,0,0,1,1,6.0378709,.69314718,0,0
0,0,0,.11924813,0,9.5,1.3862944,0,1,1,8.5575666,2.7725887,1,1
0,1,0,.45412254,0,9.5,3.2580965,0,0,1,7.9430728,1.0986123,0,0
1,0,1,.21284254,1,9.5,2.7080503,0,1,1,9.5291576,1.7917595,1,1
1,0,1,.18997923,0,9.5,0,1,1,1,6.1114674,2.4849067,1,1
1,0,1,.20622568,0,9.5,2.4849067,0,0,0,6.2480431,0,0,0
1,1,1,.18355359,1,9.5,1.0986123,0,1,1,7.9157133,4.0073333,1,1
0,0,0,.20486556,1,9.5,3.9318256,0,1,1,8.9001398,3.2580965,1,1
1,1,0,.13098504,1,9.5,3.0445225,0,1,1,6.4551988,1.0986123,0,0
0,0,0,.3635397,0,9.5,0,0,0,1,6.9167151,0,1,0
1,0,1,.13653329,0,9.5,0,0,1,1,9.0805731,3.713572,1,1
